State,Year,Num schools offering,Total Num,yield per teacher,diff from prev year,Pct increase,Num passed,Pct passed,Num female, Num female passed,Pct female passed,Pct female, Num Black,Num Black Passed,Pct Black passed,Pct Black,Num Hispanic,Num Hispanic passed,Pct Hispanic passed
National CS A,2008,1778,15014,8.44431946,14801,6948.826291,8537,0.568602638,2789,1450,0.519899606,0.185759957,673,167,0.248142645,0.04482483,1142,398,0.348511384
National CS A,2009,1879,16061,8.547631719,15792,5870.63197,9925,0.617956541,3096,1724,0.556847545,0.192765083,778,177,0.227506427,0.048440321,1208,450,0.372516556
National CS A,2010,2048,19390,9.467773438,19091,6384.949833,12550,0.647240846,3726,2201,0.590713902,0.192160908,825,224,0.271515152,0.042547705,1466,610,0.416098226
National CS A,2011,1972,21139,10.71957404,20750,5334.190231,13463,0.636879701,4000,2302,0.5755,0.18922371,893,283,0.316909295,0.042244193,1752,652,0.372146119
National CS A,2012,2103,24782,11.78411793,24372,5944.390244,15678,0.632636591,4635,2616,0.564401294,0.18703091,1014,277,0.273175542,0.040916794,1919,764,0.398124023
National CS A,2013,2253,29555,13.1180648,28978,5022.183709,19760,0.668583996,5485,3405,0.620783956,0.185586195,1090,388,0.355963303,0.036880392,2408,1085,0.450581395
National Calculaus AB,2008,10712,215086,20.07897685,200072,1332.569602,130413,0.606329561,104843,59772,0.570109592,0.487446882,10290,3133,0.30447036,0.047841329,19830,7677,0.387140696
National Calculaus AB,2009,11254,222534,19.77376933,206473,1285.555071,131123,0.589226815,108249,59203,0.546914983,0.486438027,11325,3123,0.275761589,0.0508911,21711,8048,0.37068767
National Calculaus AB,2010,11342,236502,20.85187798,217112,1119.711191,130264,0.550794496,114989,57636,0.501230552,0.486207305,12205,2984,0.244489963,0.051606329,24053,8286,0.344489253
National Calculaus AB,2011,11469,245572,21.41180574,224433,1061.701121,136451,0.555645595,119088,61529,0.516668346,0.48494128,13467,3382,0.251132398,0.054839314,27215,9404,0.345544736
National Calculaus AB,2012,11694,256163,21.9055071,231381,933.6655637,151578,0.5917248,123767,68187,0.550930377,0.483157208,13852,3980,0.28732313,0.054074944,29506,11346,0.38453196
National Calculaus AB,2013,11963,270721,22.62985873,241166,815.9905261,159524,0.589256098,130268,72863,0.559331532,0.481189121,14908,4737,0.31774886,0.055067763,34726,13705,0.394661061
Alabama,2008,7,41,5.857142857,-180,-81.4479638,34,0.829268293,5,5,1,0.12195122,3,N/A,N/A,0.073170732,1,N/A,N/A
Alabama,2009,8,24,3,-191,-88.8372093,14,0.583333333,4,N/A,N/A,0.166666667,3,N/A,N/A,0.125,0,0,0
Alabama,2010,15,104,6.933333333,-105,-50.23923445,52,0.5,17,6,0.352941176,0.163461538,11,3,0.272727273,0.105769231,5,N/A,N/A
Alabama,2011,12,99,8.25,-115,-53.73831776,61,0.616161616,17,7,0.411764706,0.171717172,18,5,0.277777778,0.181818182,1,N/A,N/A
Alabama,2012,14,97,6.928571429,-179,-64.85507246,61,0.628865979,12,10,0.833333333,0.12371134,9,5,0.555555556,0.092783505,2,N/A,N/A
